month,mother_race,mother_education,birth_order,birth_count
2020-12,CHINESE,UNIVERSITY DEGREE,2nd,473
2020-12,CHINESE,UNIVERSITY DEGREE,3rd,95
2020-12,CHINESE,UNIVERSITY DEGREE,4th,12
2020-12,CHINESE,UNIVERSITY DEGREE,5th,3
2020-12,CHINESE,UNIVERSITY DEGREE,7th,1
2018-01,INDIANS,"""A"" LEVEL/DIPLOMA",1st,35
2018-01,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,19
2018-01,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,15
2018-01,INDIANS,"""A"" LEVEL/DIPLOMA",4th,3
2018-01,INDIANS,"""A"" LEVEL/DIPLOMA",5th,1
2018-01,INDIANS,"""A"" LEVEL/DIPLOMA",6th,1
2018-01,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,17
2018-01,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,16
2018-01,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,9
2018-01,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,1
2018-01,INDIANS,"""N"" LEVEL/""O"" LEVEL",5th,3
2018-01,INDIANS,NO QUALIFICATION,2nd,1
2018-01,INDIANS,NO QUALIFICATION,3rd,1
2018-01,INDIANS,NO QUALIFICATION,4th,1
2018-01,INDIANS,PSLE,1st,4
2018-01,INDIANS,PSLE,2nd,9
2018-01,INDIANS,PSLE,3rd,2
2018-01,INDIANS,PSLE,4th,1
2018-01,INDIANS,UNIVERSITY DEGREE,1st,94
2018-01,INDIANS,UNIVERSITY DEGREE,2nd,87
2018-01,INDIANS,UNIVERSITY DEGREE,3rd,14
2018-01,INDIANS,UNIVERSITY DEGREE,4th,3
2018-02,INDIANS,"""A"" LEVEL/DIPLOMA",1st,32
2018-02,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,20
2018-02,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,9
2018-02,INDIANS,"""A"" LEVEL/DIPLOMA",4th,4
2018-02,INDIANS,"""A"" LEVEL/DIPLOMA",6th,1
2018-02,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,13
2018-02,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,9
2018-02,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,10
2018-02,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,6
2018-02,INDIANS,NO QUALIFICATION,1st,3
2018-02,INDIANS,NO QUALIFICATION,2nd,1
2018-02,INDIANS,NO QUALIFICATION,4th,2
2018-02,INDIANS,PSLE,1st,3
2018-02,INDIANS,PSLE,2nd,2
2018-02,INDIANS,PSLE,3rd,1
2018-02,INDIANS,PSLE,4th,2
2018-02,INDIANS,UNIVERSITY DEGREE,1st,102
2018-02,INDIANS,UNIVERSITY DEGREE,2nd,78
2018-02,INDIANS,UNIVERSITY DEGREE,3rd,10
2018-02,INDIANS,UNIVERSITY DEGREE,4th,2
2018-03,INDIANS,"""A"" LEVEL/DIPLOMA",1st,18
2018-03,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,22
2018-03,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,5
2018-03,INDIANS,"""A"" LEVEL/DIPLOMA",4th,2
2018-03,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,14
2018-03,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,5
2018-03,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,9
2018-03,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,4
2018-03,INDIANS,NO QUALIFICATION,2nd,2
2018-03,INDIANS,NO QUALIFICATION,3rd,2
2018-03,INDIANS,PSLE,1st,3
2018-03,INDIANS,PSLE,2nd,2
2018-03,INDIANS,PSLE,3rd,1
2018-03,INDIANS,PSLE,4th,3
2018-03,INDIANS,PSLE,5th,1
2018-03,INDIANS,PSLE,6th,1
2018-03,INDIANS,UNIVERSITY DEGREE,1st,94
2018-03,INDIANS,UNIVERSITY DEGREE,2nd,82
2018-03,INDIANS,UNIVERSITY DEGREE,3rd,16
2018-03,INDIANS,UNIVERSITY DEGREE,4th,3
2018-04,INDIANS,"""A"" LEVEL/DIPLOMA",1st,28
2018-04,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,17
2018-04,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,16
2018-04,INDIANS,"""A"" LEVEL/DIPLOMA",5th,1
2018-04,INDIANS,"""A"" LEVEL/DIPLOMA",6th,1
2018-04,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,21
2018-04,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,12
2018-04,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,9
2018-04,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,3
2018-04,INDIANS,"""N"" LEVEL/""O"" LEVEL",6th,1
2018-04,INDIANS,NO QUALIFICATION,1st,1
2018-04,INDIANS,NO QUALIFICATION,2nd,1
2018-04,INDIANS,PSLE,1st,2
2018-04,INDIANS,PSLE,2nd,2
2018-04,INDIANS,PSLE,3rd,2
2018-04,INDIANS,UNIVERSITY DEGREE,1st,96
2018-04,INDIANS,UNIVERSITY DEGREE,2nd,89
2018-04,INDIANS,UNIVERSITY DEGREE,3rd,15
2018-04,INDIANS,UNIVERSITY DEGREE,4th,3
2018-05,INDIANS,"""A"" LEVEL/DIPLOMA",1st,33
2018-05,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,26
2018-05,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,3
2018-05,INDIANS,"""A"" LEVEL/DIPLOMA",4th,1
2018-05,INDIANS,"""A"" LEVEL/DIPLOMA",6th,1
2018-05,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,16
2018-05,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,17
2018-05,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,7
2018-05,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,2
2018-05,INDIANS,"""N"" LEVEL/""O"" LEVEL",5th,1
2018-05,INDIANS,"""N"" LEVEL/""O"" LEVEL",6th,1
2018-05,INDIANS,NO QUALIFICATION,3rd,1
2018-05,INDIANS,PSLE,1st,3
2018-05,INDIANS,PSLE,2nd,5
2018-05,INDIANS,PSLE,3rd,1
2018-05,INDIANS,UNIVERSITY DEGREE,1st,92
2018-05,INDIANS,UNIVERSITY DEGREE,2nd,80
2018-05,INDIANS,UNIVERSITY DEGREE,3rd,17
2018-05,INDIANS,UNIVERSITY DEGREE,4th,3
2018-06,INDIANS,"""A"" LEVEL/DIPLOMA",1st,17
2018-06,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,19
2018-06,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,10
2018-06,INDIANS,"""A"" LEVEL/DIPLOMA",4th,3
2018-06,INDIANS,"""A"" LEVEL/DIPLOMA",5th,1
2018-06,INDIANS,"""A"" LEVEL/DIPLOMA",6th,1
2018-06,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,19
2018-06,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,12
2018-06,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,7
2018-06,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,5
2018-06,INDIANS,NO QUALIFICATION,3rd,1
2018-06,INDIANS,PSLE,1st,2
2018-06,INDIANS,PSLE,2nd,3
2018-06,INDIANS,PSLE,3rd,5
2018-06,INDIANS,PSLE,4th,1
2018-06,INDIANS,PSLE,5th,1
2018-06,INDIANS,UNIVERSITY DEGREE,1st,95
2018-06,INDIANS,UNIVERSITY DEGREE,2nd,65
2018-06,INDIANS,UNIVERSITY DEGREE,3rd,14
2018-06,INDIANS,UNIVERSITY DEGREE,4th,6
2018-07,INDIANS,"""A"" LEVEL/DIPLOMA",1st,37
2018-07,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,30
2018-07,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,14
2018-07,INDIANS,"""A"" LEVEL/DIPLOMA",4th,3
2018-07,INDIANS,"""A"" LEVEL/DIPLOMA",5th,2
2018-07,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,14
2018-07,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,14
2018-07,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,2
2018-07,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,3
2018-07,INDIANS,"""N"" LEVEL/""O"" LEVEL",6th,2
2018-07,INDIANS,NO QUALIFICATION,1st,2
2018-07,INDIANS,NO QUALIFICATION,2nd,1
2018-07,INDIANS,PSLE,1st,4
2018-07,INDIANS,PSLE,2nd,4
2018-07,INDIANS,PSLE,3rd,4
2018-07,INDIANS,PSLE,4th,2
2018-07,INDIANS,PSLE,5th,1
2018-07,INDIANS,PSLE,6th,1
2018-07,INDIANS,UNIVERSITY DEGREE,1st,89
2018-07,INDIANS,UNIVERSITY DEGREE,2nd,81
2018-07,INDIANS,UNIVERSITY DEGREE,3rd,20
2018-07,INDIANS,UNIVERSITY DEGREE,4th,2
2018-08,INDIANS,"""A"" LEVEL/DIPLOMA",1st,34
2018-08,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,21
2018-08,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,13
2018-08,INDIANS,"""A"" LEVEL/DIPLOMA",4th,7
2018-08,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,15
2018-08,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,8
2018-08,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,8
2018-08,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,2
2018-08,INDIANS,NO QUALIFICATION,1st,2
2018-08,INDIANS,NO QUALIFICATION,3rd,1
2018-08,INDIANS,NO QUALIFICATION,4th,1
2018-08,INDIANS,NO QUALIFICATION,7th,1
2018-08,INDIANS,PSLE,1st,4
2018-08,INDIANS,PSLE,2nd,2
2018-08,INDIANS,PSLE,3rd,3
2018-08,INDIANS,UNIVERSITY DEGREE,1st,94
2018-08,INDIANS,UNIVERSITY DEGREE,2nd,83
2018-08,INDIANS,UNIVERSITY DEGREE,3rd,9
2018-08,INDIANS,UNIVERSITY DEGREE,5th,1
2018-09,INDIANS,"""A"" LEVEL/DIPLOMA",1st,26
2018-09,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,18
2018-09,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,8
2018-09,INDIANS,"""A"" LEVEL/DIPLOMA",4th,2
2018-09,INDIANS,"""A"" LEVEL/DIPLOMA",5th,1
2018-09,INDIANS,"""A"" LEVEL/DIPLOMA",7th,1
2018-09,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,18
2018-09,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,12
2018-09,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,7
2018-09,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,2
2018-09,INDIANS,"""N"" LEVEL/""O"" LEVEL",5th,1
2018-09,INDIANS,NO QUALIFICATION,1st,2
2018-09,INDIANS,NO QUALIFICATION,4th,1
2018-09,INDIANS,NO QUALIFICATION,5th,1
2018-09,INDIANS,PSLE,1st,4
2018-09,INDIANS,PSLE,2nd,2
2018-09,INDIANS,PSLE,3rd,2
2018-09,INDIANS,PSLE,4th,3
2018-09,INDIANS,PSLE,5th,1
2018-09,INDIANS,UNIVERSITY DEGREE,1st,88
2018-09,INDIANS,UNIVERSITY DEGREE,2nd,77
2018-09,INDIANS,UNIVERSITY DEGREE,3rd,18
2018-09,INDIANS,UNIVERSITY DEGREE,4th,2
2018-09,INDIANS,UNIVERSITY DEGREE,5th,1
2018-10,INDIANS,"""A"" LEVEL/DIPLOMA",1st,31
2018-10,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,23
2018-10,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,10
2018-10,INDIANS,"""A"" LEVEL/DIPLOMA",4th,4
2018-10,INDIANS,"""A"" LEVEL/DIPLOMA",5th,1
2018-10,INDIANS,"""A"" LEVEL/DIPLOMA",6th,1
2018-10,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,19
2018-10,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,15
2018-10,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,7
2018-10,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,4
2018-10,INDIANS,"""N"" LEVEL/""O"" LEVEL",5th,1
2018-10,INDIANS,"""N"" LEVEL/""O"" LEVEL",7th,1
2018-10,INDIANS,"""N"" LEVEL/""O"" LEVEL",9th & over,1
2018-10,INDIANS,NO QUALIFICATION,1st,1
2018-10,INDIANS,NO QUALIFICATION,2nd,1
2018-10,INDIANS,PSLE,1st,4
2018-10,INDIANS,PSLE,2nd,3
2018-10,INDIANS,PSLE,3rd,5
2018-10,INDIANS,PSLE,5th,1
2018-10,INDIANS,UNIVERSITY DEGREE,1st,115
2018-10,INDIANS,UNIVERSITY DEGREE,2nd,99
2018-10,INDIANS,UNIVERSITY DEGREE,3rd,15
2018-11,INDIANS,"""A"" LEVEL/DIPLOMA",1st,34
2018-11,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,25
2018-11,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,10
2018-11,INDIANS,"""A"" LEVEL/DIPLOMA",4th,6
2018-11,INDIANS,"""A"" LEVEL/DIPLOMA",5th,1
2018-11,INDIANS,"""A"" LEVEL/DIPLOMA",6th,1
2018-11,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,10
2018-11,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,17
2018-11,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,7
2018-11,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,3
2018-11,INDIANS,"""N"" LEVEL/""O"" LEVEL",5th,2
2018-11,INDIANS,"""N"" LEVEL/""O"" LEVEL",6th,1
2018-11,INDIANS,"""N"" LEVEL/""O"" LEVEL",8th,1
2018-11,INDIANS,NO QUALIFICATION,2nd,1
2018-11,INDIANS,NO QUALIFICATION,4th,1
2018-11,INDIANS,PSLE,1st,4
2018-11,INDIANS,PSLE,2nd,2
2018-11,INDIANS,PSLE,3rd,3
2018-11,INDIANS,PSLE,4th,3
2018-11,INDIANS,PSLE,5th,1
2018-11,INDIANS,PSLE,6th,1
2018-11,INDIANS,UNIVERSITY DEGREE,1st,100
2018-11,INDIANS,UNIVERSITY DEGREE,2nd,99
2018-11,INDIANS,UNIVERSITY DEGREE,3rd,13
2018-11,INDIANS,UNIVERSITY DEGREE,4th,2
2018-12,INDIANS,"""A"" LEVEL/DIPLOMA",1st,40
2018-12,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,29
2018-12,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,3
2018-12,INDIANS,"""A"" LEVEL/DIPLOMA",4th,2
2018-12,INDIANS,"""A"" LEVEL/DIPLOMA",5th,1
2018-12,INDIANS,"""A"" LEVEL/DIPLOMA",7th,1
2018-12,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,16
2018-12,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,21
2018-12,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,3
2018-12,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,3
2018-12,INDIANS,"""N"" LEVEL/""O"" LEVEL",5th,2
2018-12,INDIANS,"""N"" LEVEL/""O"" LEVEL",6th,1
2018-12,INDIANS,NO QUALIFICATION,1st,1
2018-12,INDIANS,NO QUALIFICATION,4th,1
2018-12,INDIANS,PSLE,1st,5
2018-12,INDIANS,PSLE,2nd,3
2018-12,INDIANS,PSLE,3rd,3
2018-12,INDIANS,PSLE,4th,1
2018-12,INDIANS,PSLE,5th,1
2018-12,INDIANS,UNIVERSITY DEGREE,1st,89
2018-12,INDIANS,UNIVERSITY DEGREE,2nd,82
2018-12,INDIANS,UNIVERSITY DEGREE,3rd,15
2018-12,INDIANS,UNIVERSITY DEGREE,4th,3
2018-12,INDIANS,UNIVERSITY DEGREE,6th,1
2019-01,INDIANS,"""A"" LEVEL/DIPLOMA",1st,30
2019-01,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,21
2019-01,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,6
2019-01,INDIANS,"""A"" LEVEL/DIPLOMA",4th,4
2019-01,INDIANS,"""A"" LEVEL/DIPLOMA",5th,1
2019-01,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,13
2019-01,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,10
2019-01,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,3
2019-01,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,2
2019-01,INDIANS,NO QUALIFICATION,1st,1
2019-01,INDIANS,NO QUALIFICATION,3rd,1
2019-01,INDIANS,NO QUALIFICATION,5th,1
2019-01,INDIANS,NO QUALIFICATION,6th,1
2019-01,INDIANS,PSLE,1st,6
2019-01,INDIANS,PSLE,2nd,3
2019-01,INDIANS,PSLE,3rd,1
2019-01,INDIANS,UNIVERSITY DEGREE,1st,118
2019-01,INDIANS,UNIVERSITY DEGREE,2nd,85
2019-01,INDIANS,UNIVERSITY DEGREE,3rd,17
2019-01,INDIANS,UNIVERSITY DEGREE,4th,2
2019-01,INDIANS,UNIVERSITY DEGREE,5th,1
2019-02,INDIANS,"""A"" LEVEL/DIPLOMA",1st,23
2019-02,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,21
2019-02,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,9
2019-02,INDIANS,"""A"" LEVEL/DIPLOMA",4th,1
2019-02,INDIANS,"""A"" LEVEL/DIPLOMA",6th,1
2019-02,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,10
2019-02,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,6
2019-02,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,7
2019-02,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,5
2019-02,INDIANS,"""N"" LEVEL/""O"" LEVEL",5th,4
2019-02,INDIANS,"""N"" LEVEL/""O"" LEVEL",9th & over,1
2019-02,INDIANS,NO QUALIFICATION,1st,1
2019-02,INDIANS,NO QUALIFICATION,2nd,1
2019-02,INDIANS,PSLE,1st,2
2019-02,INDIANS,PSLE,3rd,3
2019-02,INDIANS,PSLE,8th,1
2019-02,INDIANS,PSLE,9th & over,1
2019-02,INDIANS,UNIVERSITY DEGREE,1st,79
2019-02,INDIANS,UNIVERSITY DEGREE,2nd,62
2019-02,INDIANS,UNIVERSITY DEGREE,3rd,13
2019-02,INDIANS,UNIVERSITY DEGREE,4th,1
2019-02,INDIANS,UNIVERSITY DEGREE,5th,1
2019-03,INDIANS,"""A"" LEVEL/DIPLOMA",1st,25
2019-03,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,18
2019-03,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,12
2019-03,INDIANS,"""A"" LEVEL/DIPLOMA",4th,4
2019-03,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,11
2019-03,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,12
2019-03,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,9
2019-03,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,4
2019-03,INDIANS,"""N"" LEVEL/""O"" LEVEL",5th,3
2019-03,INDIANS,"""N"" LEVEL/""O"" LEVEL",6th,1
2019-03,INDIANS,NO QUALIFICATION,2nd,2
2019-03,INDIANS,NO QUALIFICATION,3rd,1
2019-03,INDIANS,PSLE,1st,3
2019-03,INDIANS,PSLE,2nd,1
2019-03,INDIANS,PSLE,3rd,5
2019-03,INDIANS,UNIVERSITY DEGREE,1st,94
2019-03,INDIANS,UNIVERSITY DEGREE,2nd,88
2019-03,INDIANS,UNIVERSITY DEGREE,3rd,20
2019-03,INDIANS,UNIVERSITY DEGREE,4th,4
2019-04,INDIANS,"""A"" LEVEL/DIPLOMA",1st,27
2019-04,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,26
2019-04,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,9
2019-04,INDIANS,"""A"" LEVEL/DIPLOMA",4th,3
2019-04,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,18
2019-04,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,10
2019-04,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,7
2019-04,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,4
2019-04,INDIANS,"""N"" LEVEL/""O"" LEVEL",5th,3
2019-04,INDIANS,NO QUALIFICATION,1st,1
2019-04,INDIANS,NO QUALIFICATION,2nd,1
2019-04,INDIANS,PSLE,1st,1
2019-04,INDIANS,PSLE,2nd,3
2019-04,INDIANS,PSLE,3rd,4
2019-04,INDIANS,PSLE,4th,2
2019-04,INDIANS,UNIVERSITY DEGREE,1st,105
2019-04,INDIANS,UNIVERSITY DEGREE,2nd,89
2019-04,INDIANS,UNIVERSITY DEGREE,3rd,12
2019-04,INDIANS,UNIVERSITY DEGREE,4th,1
2019-05,INDIANS,"""A"" LEVEL/DIPLOMA",1st,30
2019-05,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,25
2019-05,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,5
2019-05,INDIANS,"""A"" LEVEL/DIPLOMA",4th,2
2019-05,INDIANS,"""A"" LEVEL/DIPLOMA",7th,1
2019-05,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,16
2019-05,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,15
2019-05,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,4
2019-05,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,2
2019-05,INDIANS,NO QUALIFICATION,2nd,1
2019-05,INDIANS,NO QUALIFICATION,3rd,2
2019-05,INDIANS,PSLE,1st,3
2019-05,INDIANS,PSLE,2nd,3
2019-05,INDIANS,PSLE,3rd,1
2019-05,INDIANS,PSLE,4th,2
2019-05,INDIANS,PSLE,5th,1
2019-05,INDIANS,PSLE,6th,2
2019-05,INDIANS,UNIVERSITY DEGREE,1st,91
2019-05,INDIANS,UNIVERSITY DEGREE,2nd,81
2019-05,INDIANS,UNIVERSITY DEGREE,3rd,23
2019-06,INDIANS,"""A"" LEVEL/DIPLOMA",1st,32
2019-06,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,24
2019-06,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,1
2019-06,INDIANS,"""A"" LEVEL/DIPLOMA",4th,3
2019-06,INDIANS,"""A"" LEVEL/DIPLOMA",5th,1
2019-06,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,9
2019-06,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,17
2019-06,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,8
2019-06,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,3
2019-06,INDIANS,"""N"" LEVEL/""O"" LEVEL",6th,1
2019-06,INDIANS,"""N"" LEVEL/""O"" LEVEL",7th,1
2019-06,INDIANS,NO QUALIFICATION,1st,1
2019-06,INDIANS,NO QUALIFICATION,2nd,1
2019-06,INDIANS,NO QUALIFICATION,4th,1
2019-06,INDIANS,PSLE,1st,1
2019-06,INDIANS,PSLE,2nd,2
2019-06,INDIANS,PSLE,3rd,1
2019-06,INDIANS,PSLE,4th,1
2019-06,INDIANS,UNIVERSITY DEGREE,1st,95
2019-06,INDIANS,UNIVERSITY DEGREE,2nd,68
2019-06,INDIANS,UNIVERSITY DEGREE,3rd,16
2019-06,INDIANS,UNIVERSITY DEGREE,4th,3
2019-06,INDIANS,UNIVERSITY DEGREE,5th,1
2019-07,INDIANS,"""A"" LEVEL/DIPLOMA",1st,30
2019-07,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,23
2019-07,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,10
2019-07,INDIANS,"""A"" LEVEL/DIPLOMA",4th,3
2019-07,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,14
2019-07,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,8
2019-07,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,5
2019-07,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,4
2019-07,INDIANS,"""N"" LEVEL/""O"" LEVEL",9th & over,1
2019-07,INDIANS,NO QUALIFICATION,1st,2
2019-07,INDIANS,NO QUALIFICATION,2nd,2
2019-07,INDIANS,NO QUALIFICATION,3rd,1
2019-07,INDIANS,PSLE,1st,3
2019-07,INDIANS,PSLE,2nd,1
2019-07,INDIANS,PSLE,3rd,2
2019-07,INDIANS,PSLE,4th,3
2019-07,INDIANS,PSLE,5th,1
2019-07,INDIANS,PSLE,6th,1
2019-07,INDIANS,UNIVERSITY DEGREE,1st,104
2019-07,INDIANS,UNIVERSITY DEGREE,2nd,81
2019-07,INDIANS,UNIVERSITY DEGREE,3rd,14
2019-07,INDIANS,UNIVERSITY DEGREE,4th,1
2019-08,INDIANS,"""A"" LEVEL/DIPLOMA",1st,28
2019-08,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,25
2019-08,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,3
2019-08,INDIANS,"""A"" LEVEL/DIPLOMA",4th,4
2019-08,INDIANS,"""A"" LEVEL/DIPLOMA",5th,2
2019-08,INDIANS,"""A"" LEVEL/DIPLOMA",6th,1
2019-08,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,13
2019-08,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,10
2019-08,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,6
2019-08,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,4
2019-08,INDIANS,"""N"" LEVEL/""O"" LEVEL",5th,4
2019-08,INDIANS,NO QUALIFICATION,3rd,1
2019-08,INDIANS,NO QUALIFICATION,5th,1
2019-08,INDIANS,PSLE,1st,6
2019-08,INDIANS,PSLE,2nd,2
2019-08,INDIANS,PSLE,3rd,2
2019-08,INDIANS,PSLE,4th,3
2019-08,INDIANS,PSLE,5th,1
2019-08,INDIANS,UNIVERSITY DEGREE,1st,96
2019-08,INDIANS,UNIVERSITY DEGREE,2nd,85
2019-08,INDIANS,UNIVERSITY DEGREE,3rd,13
2019-08,INDIANS,UNIVERSITY DEGREE,4th,1
2019-09,INDIANS,"""A"" LEVEL/DIPLOMA",1st,36
2019-09,INDIANS,"""A"" LEVEL/DIPLOMA",2nd,19
2019-09,INDIANS,"""A"" LEVEL/DIPLOMA",3rd,8
2019-09,INDIANS,"""A"" LEVEL/DIPLOMA",4th,3
2019-09,INDIANS,"""A"" LEVEL/DIPLOMA",5th,1
2019-09,INDIANS,"""A"" LEVEL/DIPLOMA",7th,1
2019-09,INDIANS,"""N"" LEVEL/""O"" LEVEL",1st,10
2019-09,INDIANS,"""N"" LEVEL/""O"" LEVEL",2nd,9
2019-09,INDIANS,"""N"" LEVEL/""O"" LEVEL",3rd,6
2019-09,INDIANS,"""N"" LEVEL/""O"" LEVEL",4th,3
2019-09,INDIANS,"""N"" LEVEL/""O"" LEVEL",5th,3
2019-09,INDIANS,NO QUALIFICATION,3rd,2
2019-09,INDIANS,PSLE,1st,5
2019-09,INDIANS,PSLE,3rd,2
2019-09,INDIANS,PSLE,5th,1
2019-09,INDIANS,PSLE,6th,1
2019-09,INDIANS,UNIVERSITY DEGREE,1st,98
2019-09,INDIANS,UNIVERSITY DEGREE,2nd,83
2019-09,INDIANS,UNIVERSITY DEGREE,3rd,23
